method,variant,seed,source,module_index,module_class,metric,value,notes
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,depthwise_weight_mean,-0.011030975729227066,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,depthwise_weight_std,1.0061049461364746,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2027,first_test_batch,0,ResidualOnlyBlock,alpha_value,0.4290899336338043,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2027,first_test_batch,0,ResidualOnlyBlock,depthwise_weight_mean,0.0009964661439880729,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2027,first_test_batch,0,ResidualOnlyBlock,depthwise_weight_std,1.0041983127593994,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2027,first_test_batch,1,ResidualOnlyBlock,alpha_value,0.4673628807067871,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2027,first_test_batch,1,ResidualOnlyBlock,depthwise_weight_mean,-0.02321598306298256,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2027,first_test_batch,1,ResidualOnlyBlock,depthwise_weight_std,1.000663161277771,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2028,first_test_batch,0,ResidualOnlyBlock,alpha_value,0.43628448247909546,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2028,first_test_batch,0,ResidualOnlyBlock,depthwise_weight_mean,-0.018787289038300514,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2028,first_test_batch,0,ResidualOnlyBlock,depthwise_weight_std,1.0020650625228882,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2028,first_test_batch,1,ResidualOnlyBlock,alpha_value,0.468149334192276,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2028,first_test_batch,1,ResidualOnlyBlock,depthwise_weight_mean,-0.0031649922020733356,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2028,first_test_batch,1,ResidualOnlyBlock,depthwise_weight_std,0.994117021560669,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2029,first_test_batch,0,ResidualOnlyBlock,alpha_value,0.4358775317668915,module input diagnostics collected with forward pre-hooks
